team,warner_score,path
"A&M-Corpus Christi",4706,",'Montana St.','Weber St.','Tarleton St.','UCF','South Fla.','Massachusetts','George Washington','American','Boston U.','Holy Cross','Harvard','Louisiana','Coastal Carolina','Georgia St.','Northeastern','Drexel','N.C. A&T','UNCW','Towson','Delaware','Monmouth','Princeton','Dartmouth','UIW','Kansas St.','Texas Tech','Iowa St.','UConn','St. Johns (NY)','Villanova','DePaul','Northwestern','Iowa','Eastern Ill.','NIU','Buffalo','James Madison','Southern Miss.','South Alabama','Ga. Southern','FGCU','Austin Peay','Kennesaw St.','North Florida','North Ala.','Mississippi Val.','Alabama St.','Pepperdine','San Diego','CSUN','CSU Bakersfield','UTEP','Rice','Middle Tenn.','UTSA','UAB','Western Ky.','South Carolina','Colorado St.','Air Force','Tex. A&M-Commerce','Purdue Fort Wayne','Detroit Mercy','Cleveland St.','Oakland','Syracuse','Bryant','UMBC','Vermont','UMass Lowell','Rhode Island','Richmond','Saint Josephs','FDU','Stonehill','Quinnipiac','Fairfield','Canisius','Iona','Siena','Georgetown','Seton Hall','Oklahoma','TCU','Mississippi St.','Kentucky','Georgia','Texas A&M','Colorado','Oregon St.','Portland St.','Sacramento St.','Idaho','Northern Ariz.','Idaho St.','St. Thomas (MN)','Kansas City','Lincoln (MO)','Southern Ill.','Bradley','Liberty','Lipscomb','Alabama A&M','Ohio St.','Illinois','Missouri','Florida','Arkansas','LSU','Tennessee','Vanderbilt','Grambling','Arizona St.','San Francisco','Davidson','Saint Louis','SIUE','Morehead St.','UT Martin','Little Rock','Lindenwood','Southeast Mo. St.','Milwaukee','Chattanooga','ETSU','Western Caro.','The Citadel','Mercer','Furman','UNC Greensboro','Miami (FL)','Georgia Tech','Louisville','Florida St.','Clemson','Wake Forest','Rutgers','Michigan','Michigan St.','Notre Dame','St. Bonaventure','South Dakota St.','North Dakota St.','Northern Colo.','Colo. Christian','Wyoming','Grand Canyon','SFA','UT Arlington','Seattle U','Utah Tech','California Baptist','Southern Utah','Texas St.','Old Dominion','Arkansas St.','ULM','Sam Houston','Nevada','UNLV','Utah St.','Boise St.','Santa Clara','Saint Marys (CA)','Washington','Utah','Oregon','UCLA','Southern California','Arizona','Washington St.','Prairie View','Montana','Troy','App State','Campbell','Radford','William & Mary','Navy','Colgate','Cornell','Brown','Penn','Yale','Columbia','Maine','NJIT','Binghamton','Niagara','Marist','Manhattan','Saint Peters','Mount St. Marys','Coppin St.','George Mason','Loyola Chicago','Tulsa','Murray St.','Indiana St.','Missouri St.','Illinois St.','Valparaiso','UNI','McNeese','Houston Christian','Lamar University','New Orleans','Portland','LMU (CA)','Gonzaga','Texas','Baylor','Marquette','Providence','Xavier','Duke','Virginia','Boston College','NC State','North Carolina','Pittsburgh','VCU','Jacksonville','Bellarmine','Stetson','Eastern Ky.','Cincinnati','East Carolina','South Carolina St.','Delaware St.','Norfolk St.','Morgan St.','Howard','Hampton','Texas Southern','Samford','Tenn. Southern','Louisiana Tech','FIU','Eastern Mich.','Bowling Green','Southern Ind.','Chicago St.','Bethune-Cookman','Jackson St.','Southern U.','Southeastern La.','Northwestern St.','Nicholls','UC Irvine','UC San Diego','Hawaii','UC Riverside','Cal St. Fullerton','North Dakota','Denver','Western Ill.','South Dakota','Oral Roberts','Houston','Temple','Wagner','St. Francis Brooklyn','Central Conn. St.','Saint Francis (PA)','Sacred Heart','LIU','Merrimack','Bucknell','La Salle','Lafayette','Army West Point','Stony Brook','Elon','High Point','Charleston So.','UNC Asheville','USC Upstate','Gardner-Webb','Longwood','Winthrop','Duquesne','New Mexico St.','Kent St.','Ball St.','Ohio','Miami (OH)','Central Mich.','Youngstown St.','Robert Morris','IUPUI','Wright St.','Akron','Toledo','Marshall','Queens (NC)','Central Ark.','Jacksonville St.','UIC','Fordham','Dayton','BYU','San Diego St.','New Mexico','Fresno St.','San Jose St.','Pacific','Cal Poly','Stanford','California','UC Davis','Long Beach St.','North Texas','Charlotte','Fla. Atlantic','Ole Miss','Oklahoma St.','West Virginia','Purdue','Indiana','Penn St.','Wisconsin','Nebraska','Memphis','Tulane','Wichita St.','Alcorn'"
"Abilene Christian",4778,",'Montana St.','Weber St.','Wright St.','Robert Morris','IUPUI','Iowa St.','Kansas St.','West Virginia','Texas','Illinois','Indiana','Penn St.','Maryland','Michigan','Rutgers','Temple','Penn','Iona','Quinnipiac','Saint Peter's','Manhattan','Niagara','Bucknell','Holy Cross','Loyola Maryland','Southern U.','Alabama A&M','Florida A&M','Prairie View','UIC','Northwestern','Pittsburgh','Duke','Kansas','TCU','Northwestern St.','A&M-Corpus Christi','CSU Bakersfield','Utah','Stanford','Colorado','Oregon St.','Arizona St.','San Francisco','Santa Clara','Gonzaga','Saint Mary's (CA)','Washington','California Baptist','Long Beach St.','Cal Poly','San Jose St.','New Mexico','Wyoming','Boston College','New Hampshire','Boston U.','Milwaukee','Youngstown St.','Notre Dame','Georgia','Auburn','Memphis','Saint Louis','Dayton','Rhode Island','La Salle','Duquesne','New Mexico St.','Southern Utah','Tarleton St.','Air Force','Portland','Seattle U','Utah Tech','SFA','Utah Valley','Utah St.','SMU','Jackson St.','Miami (OH)','Eastern Mich.','Akron','Ball St.','Buffalo','James Madison','Coppin St.','South Carolina St.','Tennessee St.','High Point','UNC Asheville','N.C. Central','Morgan St.','Norfolk St.','Howard','Yale','Butler','Tennessee','Texas A&M','Murray St.','Bradley','Belmont','Lipscomb','Liberty','Eastern Ky.','Tex. A&M-Commerce','New Orleans','Houston Christian','Southeastern La.','Nicholls','UC Irvine','UC San Diego','UC Davis','UC Riverside','UC Santa Barbara','CSUN','Central Mich.','Missouri St.','UNCW','Towson','Drexel','Hampton','Stony Brook','Elon','Radford','William & Mary','Hofstra','Middle Tenn.','UTEP','DePaul','Providence','Marquette','Wisconsin','Wake Forest','Syracuse','Georgia Tech','Louisville','Florida St.','NC State','North Carolina','Virginia','Virginia Tech','Clemson','South Carolina','East Carolina','Cincinnati','Northern Ky.','Kent St.','NIU','Idaho','Idaho St.','Bethune-Cookman','North Florida','FGCU','Bellarmine','Morehead St.','Marshall','ULM','Omaha','North Dakota St.','South Dakota','South Dakota St.','St. Thomas (MN)','North Dakota','Western Ill.','Denver','Oral Roberts','Houston','Alabama','Oklahoma','Sam Houston','Nevada','UNLV','Boise St.','Charlotte','Massachusetts','Richmond','Saint Joseph's','FDU','Longwood','Charleston So.','Winthrop','Southern Miss.','South Alabama','Georgia St.','App State','Coastal Carolina','Missouri','Mississippi St.','Drake','Southern Ill.','Illinois St.','UNI','Indiana St.','Southern Ind.','Eastern Ill.','Tennessee Tech','Chattanooga','UNC Greensboro','Wofford','ETSU','Mercer','Western Caro.','Furman','The Citadel','Samford','Louisiana Tech','Western Ky.','FIU','Bryant','UMBC','Maine','NJIT','UMass Lowell','UAlbany','Binghamton','Colgate','Cornell','Harvard','Dartmouth','South Fla.','Southeast Mo. St.','Purdue Fort Wayne','Detroit Mercy','Oakland','Cleveland St.','St. Bonaventure','Canisius','Fairfield','Wagner','Central Conn. St.','Sacred Heart','Merrimack','Vermont','Toledo','George Mason','VCU','Jacksonville','Kennesaw St.','Queens (NC)','Central Ark.','Austin Peay','North Ala.','Mississippi Val.','Ark.-Pine Bluff','Alabama St.','UAB','North Texas','Rice','Pepperdine','San Diego','BYU','LMU (CA)','Pacific','Northern Ariz.','Portland St.','Montana','Sacramento St.','Northern Colo.','Eastern Wash.','Washington St.','Arizona','Oregon','Michigan St.','Ohio St.','Iowa','Nebraska','St. John's (NY)','Xavier','Creighton','UConn','Seton Hall','Siena','Army West Point','Stonehill','Hartford','Delaware','Monmouth','Rider','Stetson','Ohio','Florida','Kentucky','Arkansas','Vanderbilt','Grambling','UIW','McNeese','Lindenwood','Kansas City','Green Bay','Loyola Chicago','Davidson','George Washington','American','Navy','VMI','Presbyterian','Gardner-Webb','USC Upstate','Campbell','Evansville','Valparaiso','Chicago St.','UT Martin','Little Rock','Arkansas St.','Ga. Southern','Louisiana','Old Dominion','Texas St.','UTSA','Fla. Atlantic','Ole Miss','Oklahoma St.','UCF','Tulane','Tulsa','Wichita St.','Alcorn','Grand Canyon','UTRGV','UT Arlington'"
"Academy of Art",0,""
"Air Force",4760,",'Montana St.','Middle Tenn.','Chattanooga','Western Caro.','UNC Greensboro','SFA','UT Arlington','Drexel','Hampton','UNCW','Hofstra','N.C. A&T','Monmouth','Yale','Colorado','California','Southern California','FGCU','Bellarmine','Lipscomb','North Ala.','Eastern Ky.','North Florida','Kentucky','Vanderbilt','Alabama','Texas A&M','Wofford','Ga. Southern','ULM','Louisiana Tech','North Texas','Rice','Pepperdine','Pacific','Saint Mary's (CA)','Gonzaga','Texas','Iowa St.','Iowa','Eastern Ill.','Western Ill.','Youngstown St.','Milwaukee','Green Bay','Georgetown','American','Lafayette','Army West Point','Bucknell','Boston U.','Holy Cross','Loyola Maryland','Mount St. Mary's','Saint Peter's','St. Francis Brooklyn','St. Thomas (MN)','Kansas City','South Dakota','Denver','North Dakota','North Dakota St.','Northern Colo.','Weber St.','Wright St.','Robert Morris','IUPUI','Drake','Southern Ill.','UNI','McNeese','Lindenwood','SIUE','UT Martin','Little Rock','Tennessee St.','Austin Peay','Howard','Belmont','Tarleton St.','California Baptist','Abilene Christian','UC Riverside','Creighton','Nebraska','Northwestern','Pittsburgh','Virginia Tech','Georgia Tech','Duke','Wake Forest','Syracuse','St. John's (NY)','Villanova','Portland','Oregon','Stanford','Washington','Utah','Arizona St.','Texas Southern','Texas Tech','West Virginia','Baylor','Marquette','Mississippi St.','Tennessee','Arizona','Washington St.','Hawaii','Tex. A&M-Commerce','Georgia St.','App State','UC Santa Barbara','Northern Ariz.','Portland St.','Cal Poly','San Francisco','Utah St.','Boise St.','San Jose St.','Nevada','UNLV','Colorado St.','San Diego St.','New Mexico','Wyoming','Southeastern La.','Nicholls','A&M-Corpus Christi','CSU Bakersfield','Dartmouth','Columbia','UMass Lowell','Maine','NJIT','UAlbany','Loyola Chicago','Tulsa','South Fla.','Massachusetts','La Salle','Saint Joseph's','Houston','Temple','UMES','Charlotte','UTEP','Fla. Atlantic','UAB','Western Ky.','South Carolina','Davidson','VCU','Jacksonville','Stetson','Florida','Auburn','Memphis','Tulane','East Carolina','South Carolina St.','Longwood','Campbell','Presbyterian','High Point','Charleston So.','UNC Asheville','USC Upstate','Gardner-Webb','Winthrop','Southern Miss.','South Alabama','Towson','Bryant','New Hampshire','Binghamton','Colgate','Cornell','Harvard','Kansas','TCU','Kansas St.','Butler','UConn','Providence','Seton Hall','Xavier','DePaul','Duquesne','St. Bonaventure','Saint Louis','Maryland','Rutgers','Michigan St.','Notre Dame','Florida St.','Siena','Iona','Quinnipiac','Manhattan','Central Conn. St.','Merrimack','FDU','Richmond','George Washington','Radford','VMI','Samford','Louisiana','James Madison','Valparaiso','Chicago St.','Ball St.','Buffalo','Ohio','Bowling Green','Western Mich.','Miami (OH)','Central Mich.','Toledo','Kent St.','NIU','Idaho','Long Beach St.','UC San Diego','San Diego','New Mexico St.','Southern Utah','Texas St.','Sam Houston','Utah Valley','Seattle U','Utah Tech','Grand Canyon','Wichita St.','Alcorn','Prairie View','Bethune-Cookman','Southern U.','Ark.-Pine Bluff','Alabama St.','Grambling','Liberty','Kennesaw St.','Queens (NC)','Jacksonville St.','UIC','Bradley','Murray St.','Indiana St.','Southern Ind.','Tennessee Tech','Morehead St.','Southeast Mo. St.','Purdue Fort Wayne','Cleveland St.','LMU (CA)','UC Irvine','Fresno St.','Sacramento St.','Eastern Wash.','Idaho St.','Montana','Troy','Mercer','Furman','The Citadel','N.C. Central','Morgan St.','Delaware St.','Coppin St.','UMBC','Princeton','Delaware','Northeastern','Elon','William & Mary','Stony Brook','FIU','NC State','Clemson','Virginia','Boston College','North Carolina','Indiana','Penn St.','Michigan','Wisconsin','Illinois','Missouri','Arkansas','LSU','Ole Miss','UCF','Cincinnati','Northern Ky.','Oakland','Detroit Mercy','Eastern Mich.','Niagara','Marist','Fairfield','Wagner','Sacred Heart','Saint Francis (PA)','Stonehill','Fordham','Dayton','Rhode Island','George Mason','Old Dominion','Coastal Carolina','Arkansas St.','Central Ark.','Northwestern St.','New Orleans','UIW','Houston Christian','Lamar University','SMU','Jackson St.','Mississippi Val.'"
"Akron",4756,",'Montana St.','Middle Tenn.','Chattanooga','Western Caro.','UNC Greensboro','SFA','UT Arlington','Drexel','Hampton','UNCW','Hofstra','N.C. A&T','Monmouth','Yale','Colorado','California','Southern California','FGCU','Bellarmine','Lipscomb','North Ala.','Eastern Ky.','North Florida','Kentucky','Vanderbilt','Alabama','Texas A&M','Wofford','Ga. Southern','ULM','Louisiana Tech','North Texas','Rice','Pepperdine','Pacific','Saint Mary's (CA)','Gonzaga','Texas','Iowa St.','Iowa','Eastern Ill.','Western Ill.','Youngstown St.','Milwaukee','Green Bay','Georgetown','American','Lafayette','Army West Point','Bucknell','Boston U.','Holy Cross','Loyola Maryland','Mount St. Mary's','Saint Peter's','St. Francis Brooklyn','St. Thomas (MN)','Kansas City','South Dakota','Denver','North Dakota','North Dakota St.','Northern Colo.','Weber St.','Wright St.','Robert Morris','IUPUI','Drake','Southern Ill.','UNI','McNeese','Lindenwood','SIUE','UT Martin','Little Rock','Tennessee St.','Austin Peay','Howard','Belmont','Tarleton St.','California Baptist','Abilene Christian','UC Riverside','Creighton','Nebraska','Northwestern','Pittsburgh','Virginia Tech','Georgia Tech','Duke','Wake Forest','Syracuse','St. John's (NY)','Villanova','Portland','Oregon','Stanford','Washington','Utah','Arizona St.','Texas Southern','Texas Tech','West Virginia','Baylor','Marquette','Mississippi St.','Tennessee','Arizona','Washington St.','Hawaii','Tex. A&M-Commerce','Georgia St.','App State','UC Santa Barbara','Northern Ariz.','Portland St.','Cal Poly','San Francisco','Utah St.','Boise St.','San Jose St.','Nevada','UNLV','Colorado St.','San Diego St.','New Mexico','Wyoming','Southeastern La.','Nicholls','A&M-Corpus Christi','CSU Bakersfield','Dartmouth','Columbia','UMass Lowell','Maine','NJIT','UAlbany','Loyola Chicago','Tulsa','South Fla.','Massachusetts','La Salle','Saint Joseph's','Houston','Temple','UMES','Charlotte','UTEP','Fla. Atlantic','UAB','Western Ky.','South Carolina','Davidson','VCU','Jacksonville','Stetson','Florida','Auburn','Memphis','Tulane','East Carolina','South Carolina St.','Longwood','Campbell','Presbyterian','High Point','Charleston So.','UNC Asheville','USC Upstate','Gardner-Webb','Winthrop','Southern Miss.','South Alabama','Towson','Bryant','New Hampshire','Binghamton','Colgate','Cornell','Harvard','Kansas','TCU','Kansas St.','Butler','UConn','Providence','Seton Hall','Xavier','DePaul','Duquesne','St. Bonaventure','Saint Louis','Maryland','Rutgers','Michigan St.','Notre Dame','Florida St.','Siena','Iona','Quinnipiac','Manhattan','Central Conn. St.','Merrimack','FDU','Richmond','George Washington','Radford','VMI','Samford','Louisiana','James Madison','Valparaiso','Chicago St.','Ball St.','Buffalo','Ohio','Bowling Green','Western Mich.','Miami (OH)','Central Mich.','Toledo','Kent St.','NIU','Idaho','Long Beach St.','UC San Diego','San Diego','New Mexico St.','Southern Utah','Texas St.','Sam Houston','Utah Valley','Seattle U','Utah Tech','Grand Canyon','Wichita St.','Alcorn','Prairie View','Bethune-Cookman','Southern U.','Ark.-Pine Bluff','Alabama St.','Grambling','Liberty','Kennesaw St.','Queens (NC)','Jacksonville St.','UIC','Bradley','Murray St.','Indiana St.','Southern Ind.','Tennessee Tech','Morehead St.','Southeast Mo. St.','Purdue Fort Wayne','Cleveland St.','LMU (CA)','UC Irvine','Fresno St.','Sacramento St.','Eastern Wash.','Idaho St.','Montana','Troy','Mercer','Furman','The Citadel','N.C. Central','Morgan St.','Delaware St.','Coppin St.','UMBC','Princeton','Delaware','Northeastern','Elon','William & Mary','Stony Brook','FIU','NC State','Clemson','Virginia','Boston College','North Carolina','Indiana','Penn St.','Michigan','Wisconsin','Illinois','Missouri','Arkansas','LSU','Ole Miss','UCF','Cincinnati','Northern Ky.','Oakland','Detroit Mercy','Eastern Mich.','Niagara','Marist','Fairfield','Wagner','Sacred Heart','Saint Francis (PA)','Stonehill','Fordham','Dayton','Rhode Island','George Mason','Old Dominion','Coastal Carolina','Arkansas St.','Central Ark.','Northwestern St.','New Orleans','UIW','Houston Christian','Lamar University','SMU','Jackson St.'"
"Alabama",4797,",'Montana St.','UNC Greensboro','Miami (FL)','Florida St.','Stanford','California','Arizona','Oregon','Washington St.','Hawaii','Tex. A&M-Commerce','Abilene Christian','Texas A&M','Kentucky','Michigan St.','Iowa','Eastern Ill.','UT Martin','Youngstown St.','Northern Ky.','UT Arlington','Seattle U','Utah Tech','California Baptist','UTRGV','Western Ill.','South Dakota','Denver','North Dakota','Creighton','BYU','Utah Valley','Morgan St.','Coppin St.','George Mason','Boston College','Tarleton St.','Air Force','San Jose St.','Hofstra','Massachusetts','La Salle','Lafayette','American','Bucknell','Boston U.','Holy Cross','Sacred Heart','Stony Brook','Elon','William & Mary','Drexel','Princeton','Dartmouth','Grambling','Arizona St.','San Francisco','Utah St.','SMU','UCF','South Fla.','Wichita St.','East Carolina','Old Dominion','Texas St.','Rice','Charlotte','Detroit Mercy','Eastern Mich.','Akron','Toledo','Ball St.','Ohio','Bowling Green','Western Mich.','NIU','Idaho','Cal Poly','Cal St. Fullerton','UC Davis','Milwaukee','Green Bay','Wright St.','Robert Morris','Evansville','Bradley','Belmont','Illinois St.','Southern Ill.','Drake','Richmond','Dayton','Virginia Tech','Syracuse','Georgia Tech','NC State','North Carolina','Wake Forest','Clemson','South Carolina','George Washington','Saint Joseph's','VCU','Jacksonville','North Florida','Central Ark.','Austin Peay','Jacksonville St.','Utah','Colorado','Southern California','FGCU','Eastern Ky.','Bellarmine','Kennesaw St.','Campbell','Presbyterian','Charleston So.','Winthrop','Radford','Longwood','San Diego','Portland','Gonzaga','LMU (CA)','Pacific','Mount St. Mary's','Iona','Siena','Army West Point','Stonehill','Merrimack','St. Thomas (MN)','Kansas City','Omaha','North Dakota St.','Oral Roberts','Houston','Temple','Cincinnati','Ohio St.','Purdue','Maryland','Michigan','Rutgers','Nebraska','Illinois','Missouri','Auburn','Vanderbilt','Southern Miss.','South Alabama','UAB','Fla. Atlantic','Ole Miss','Florida','Kansas St.','Oklahoma','Kansas','Texas','Iowa St.','Texas Tech','West Virginia','Oklahoma St.','UConn','St. John's (NY)','Butler','Georgetown','Villanova','DePaul','Duquesne','New Mexico St.','SFA','Alcorn','Prairie View','Alabama St.','Florida A&M','Bethune-Cookman','Southern U.','Louisiana Tech','Middle Tenn.','Western Ky.','North Texas','UNCW','Delaware','Towson','Fairfield','Saint Peter's','Marist','Binghamton','UMBC','Maine','NJIT','UAlbany','Vermont','Yale','Penn','Cornell','Harvard','Howard','Hampton','James Madison','Valparaiso','Samford','South Carolina St.','Tennessee St.','SIUE','Southeast Mo. St.','Morehead St.','Mercer','Wofford','ETSU','Chattanooga','Furman','Western Caro.','USC Upstate','High Point','Gardner-Webb','Colorado St.','Boise St.','San Diego St.','Nevada','UNLV','Fresno St.','Sacramento St.','Northern Ariz.','Weber St.','Northern Colo.','Idaho St.','Montana','Troy','Louisiana','Coastal Carolina','App State','Marshall','Ga. Southern','Georgia St.','Northeastern','UIC','Murray St.','Indiana St.','Southern Ind.','Chicago St.','Delaware St.','St. Francis Brooklyn','Saint Francis (PA)','Central Conn. St.','Wagner','Seton Hall','Marquette','Wisconsin','Northwestern','Pittsburgh','Notre Dame','St. Bonaventure','UNI','McNeese','Northwestern St.','New Orleans','Houston Christian','Lamar University','UIW','A&M-Corpus Christi','CSU Bakersfield','Long Beach St.','UC Santa Barbara','CSUN','UC San Diego','Navy','Lehigh','Loyola Maryland','Colgate','Buffalo','Tulane','Memphis','Saint Louis','Fordham','Rhode Island','Quinnipiac','Canisius','Manhattan','Monmouth','Rider','Stetson','Lipscomb','Alabama A&M','Texas Southern','Mississippi Val.','Ark.-Pine Bluff','Jackson St.','Miami (OH)','Central Mich.','Missouri St.','Saint Mary's (CA)','Washington','Oregon St.','Portland St.','Eastern Wash.','FIU','UTSA','New Mexico','Wyoming','Southeastern La.','Nicholls','UC Irvine','Pepperdine','UCLA','Baylor','TCU','Mississippi St.','Georgia','Arkansas','LSU'"
"Alabama A&M",4754,",'Montana St.','Middle Tenn.','Chattanooga','Western Caro.','UNC Greensboro','SFA','UT Arlington','Drexel','Hampton','UNCW','Hofstra','N.C. A&T','Monmouth','Yale','Colorado','California','Southern California','FGCU','Bellarmine','Lipscomb','North Ala.','Eastern Ky.','North Florida','Kentucky','Vanderbilt','Alabama','Texas A&M','Wofford','Ga. Southern','ULM','Louisiana Tech','North Texas','Rice','Pepperdine','Pacific','Saint Mary's (CA)','Gonzaga','Texas','Iowa St.','Iowa','Eastern Ill.','Western Ill.','Youngstown St.','Milwaukee','Green Bay','Georgetown','American','Lafayette','Army West Point','Bucknell','Boston U.','Holy Cross','Loyola Maryland','Mount St. Mary's','Saint Peter's','St. Francis Brooklyn','St. Thomas (MN)','Kansas City','South Dakota','Denver','North Dakota','North Dakota St.','Northern Colo.','Weber St.','Wright St.','Robert Morris','IUPUI','Drake','Southern Ill.','UNI','McNeese','Lindenwood','SIUE','UT Martin','Little Rock','Tennessee St.','Austin Peay','Howard','Belmont','Tarleton St.','California Baptist','Abilene Christian','UC Riverside','Creighton','Nebraska','Northwestern','Pittsburgh','Virginia Tech','Georgia Tech','Duke','Wake Forest','Syracuse','St. John's (NY)','Villanova','Portland','Oregon','Stanford','Washington','Utah','Arizona St.','Texas Southern','Texas Tech','West Virginia','Baylor','Marquette','Mississippi St.','Tennessee','Arizona','Washington St.','Hawaii','Tex. A&M-Commerce','Georgia St.','App State','UC Santa Barbara','Northern Ariz.','Portland St.','Cal Poly','San Francisco','Utah St.','Boise St.','San Jose St.','Nevada','UNLV','Colorado St.','San Diego St.','New Mexico','Wyoming','Southeastern La.','Nicholls','A&M-Corpus Christi','CSU Bakersfield','Dartmouth','Columbia','UMass Lowell','Maine','NJIT','UAlbany','Loyola Chicago','Tulsa','South Fla.','Massachusetts','La Salle','Saint Joseph's','Houston','Temple','UMES','Charlotte','UTEP','Fla. Atlantic','UAB','Western Ky.','South Carolina','Davidson','VCU','Jacksonville','Stetson','Florida','Auburn','Memphis','Tulane','East Carolina','South Carolina St.','Longwood','Campbell','Presbyterian','High Point','Charleston So.','UNC Asheville','USC Upstate','Gardner-Webb','Winthrop','Southern Miss.','South Alabama','Towson','Bryant','New Hampshire','Binghamton','Colgate','Cornell','Harvard','Kansas','TCU','Kansas St.','Butler','UConn','Providence','Seton Hall','Xavier','DePaul','Duquesne','St. Bonaventure','Saint Louis','Maryland','Rutgers','Michigan St.','Notre Dame','Florida St.','Siena','Iona','Quinnipiac','Manhattan','Central Conn. St.','Merrimack','FDU','Richmond','George Washington','Radford','VMI','Samford','Louisiana','James Madison','Valparaiso','Chicago St.','Ball St.','Buffalo','Ohio','Bowling Green','Western Mich.','Miami (OH)','Central Mich.','Toledo','Kent St.','NIU','Idaho','Long Beach St.','UC San Diego','San Diego','New Mexico St.','Southern Utah','Texas St.','Sam Houston','Utah Valley','Seattle U','Utah Tech','Grand Canyon','Wichita St.','Alcorn','Prairie View','Bethune-Cookman','Southern U.','Ark.-Pine Bluff','Alabama St.','Grambling','Liberty','Kennesaw St.','Queens (NC)','Jacksonville St.','UIC','Bradley','Murray St.','Indiana St.','Southern Ind.','Tennessee Tech','Morehead St.','Southeast Mo. St.','Purdue Fort Wayne','Cleveland St.','LMU (CA)','UC Irvine','Fresno St.','Sacramento St.','Eastern Wash.','Idaho St.','Montana','Troy','Mercer','Furman','The Citadel','N.C. Central','Morgan St.','Delaware St.','Coppin St.','UMBC','Princeton','Delaware','Northeastern','Elon','William & Mary','Stony Brook','FIU','NC State','Clemson','Virginia','Boston College','North Carolina','Indiana','Penn St.','Michigan','Wisconsin','Illinois','Missouri','Arkansas','LSU','Ole Miss','UCF','Cincinnati','Northern Ky.','Oakland','Detroit Mercy','Eastern Mich.','Niagara','Marist','Fairfield','Wagner','Sacred Heart','Saint Francis (PA)','Stonehill','Fordham','Dayton','Rhode Island','George Mason','Old Dominion','Coastal Carolina','Arkansas St.','Central Ark.','Northwestern St.','New Orleans','UIW','Houston Christian','Lamar University','SMU','Jackson St.','Mississippi Val.'"
